id,customer_id,product_id,qty,unit_price,date,promo_code,time
O001,C001,P005,10,3.50,2025-01-15,,14:30
O002,C001,P006,5,12.00,2025-01-15,,14:30
O003,C002,P001,1,1299.00,2025-01-16,PREMIUM10,09:15
O004,C002,P002,2,29.99,2025-01-16,,09:15
O005,C002,P007,3,8.99,2025-01-16,,09:15
O006,C003,P003,1,199.99,2025-01-17,,16:45
O007,C003,P004,2,45.00,2025-01-17,,16:45
O008,C004,P008,2,399.00,2025-01-18,WEEKEND5,11:00
O009,C004,P009,1,129.99,2025-01-18,,11:00
O010,C004,P010,1,89.00,2025-01-18,,11:00
O011,C005,P012,3,24.99,2025-01-19,,08:30
O012,C005,P013,2,15.99,2025-01-19,,08:30
O013,C006,P005,20,3.50,2025-01-20,BULK15,13:00
O014,C006,P006,10,12.00,2025-01-20,,13:00
O015,C007,P001,2,1299.00,2025-01-21,,10:30
O016,C007,P008,1,399.00,2025-01-21,,10:30
O017,C008,P015,5,12.99,2025-01-22,,15:20
O018,C009,P011,1,149.99,2025-01-23,PREMIUM10,09:00
O019,C009,P003,1,199.99,2025-01-23,,09:00
O020,C010,P002,10,29.99,2025-01-24,,12:00
O021,C010,P007,15,8.99,2025-01-24,,12:00
O022,C001,P014,8,9.99,2025-01-25,,14:00
O023,C002,P005,50,3.50,2025-01-26,BULK15,08:45
O024,C003,P012,5,24.99,2025-01-27,,17:00
O025,C004,P001,1,1299.00,2025-01-28,,10:00
